age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,M,46,F,0.0,8.0,5.0,1.0,0.0
0,M,47,M,0.0,8.0,5.0,1.0,0.0
0,M,47,F,2.0,8.0,5.0,0.2857142857142857,0.875
0,M,48,M,0.0,8.0,5.0,1.0,0.0
0,M,48,F,0.0,8.0,5.0,1.0,0.0
0,M,49,M,0.0,8.0,5.0,1.0,0.0
0,M,49,F,0.0,8.0,5.0,1.0,0.0
0,M,50,M,0.0,8.0,5.0,1.0,0.0
0,M,50,F,0.0,8.0,5.0,1.0,0.0
0,M,51,M,0.0,8.0,5.0,1.0,0.0
0,M,51,F,0.0,8.0,5.0,1.0,0.0
0,M,52,M,0.0,8.0,5.0,1.0,0.0
0,M,52,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,53,M,0.0,8.0,5.0,1.0,0.0
0,M,53,F,0.0,8.0,5.0,1.0,0.0
0,M,54,M,0.0,8.0,5.0,1.0,0.0
0,M,54,F,0.0,8.0,5.0,1.0,0.0
0,M,55,M,0.0,8.0,5.0,1.0,0.0
0,M,55,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,56,M,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,56,F,0.0,8.0,5.0,1.0,0.0
0,M,57,M,0.0,8.0,5.0,1.0,0.0
0,M,57,F,0.0,8.0,5.0,1.0,0.0
0,M,58,M,0.0,8.0,5.0,1.0,0.0
0,M,58,F,0.0,8.0,5.0,1.0,0.0
0,M,59,M,0.0,8.0,5.0,1.0,0.0
0,M,59,F,0.0,8.0,5.0,1.0,0.0
0,M,60,M,0.0,8.0,5.0,1.0,0.0
0,M,60,F,0.0,8.0,5.0,1.0,0.0
0,M,61,M,0.0,8.0,5.0,1.0,0.0
0,M,61,F,0.0,8.0,5.0,1.0,0.0
0,M,62,M,0.0,8.0,5.0,1.0,0.0
0,M,62,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,63,M,0.0,8.0,5.0,1.0,0.0
0,M,63,F,0.0,8.0,5.0,1.0,0.0
0,M,64,M,0.0,8.0,5.0,1.0,0.0
0,M,64,F,0.0,8.0,5.0,1.0,0.0
0,M,65,M,0.0,8.0,5.0,1.0,0.0
0,M,65,F,0.0,8.0,5.0,1.0,0.0
0,M,66,M,0.0,8.0,5.0,1.0,0.0
0,M,66,F,0.0,8.0,5.0,1.0,0.0
0,M,67,M,0.0,8.0,5.0,1.0,0.0
0,M,67,F,1.0,8.0,5.0,0.16666666666666666,0.75
0,M,68,M,0.0,8.0,5.0,1.0,0.0
0,M,68,F,0.0,8.0,5.0,1.0,0.0
0,M,69,M,0.0,8.0,5.0,1.0,0.0
0,M,69,F,0.0,8.0,5.0,1.0,0.0
0,M,70,M,0.0,8.0,5.0,1.0,0.0
0,M,70,F,0.0,8.0,5.0,1.0,0.0
0,M,71,M,0.0,8.0,5.0,1.0,0.0
0,M,71,F,0.0,8.0,5.0,1.0,0.0
0,M,72,M,0.0,8.0,5.0,1.0,0.0
0,M,72,F,0.0,8.0,5.0,1.0,0.0
0,M,73,M,0.0,8.0,5.0,1.0,0.0
